,molecule_id,smiles,target_core,vs1,vdelta
122,chromo3131,C1=Cc2nc1c(-c1ccco1)c1ccc(s1)c(-c1ccco1)c1nc(c(-c3ccco3)c3ccc(s3)c2-c2ccco2)C=C1,0,1.8456,0.7343
123,chromo5516,CC(C)[Si]1(C(C)C)c2cc(C=C(C#N)C#N)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,0,2.3493,0.5709
124,chromo0251,COc1ccc(C#CC2=C3CCc4ccccc4C3=[O+][B-](F)(F)O2)cc1,0,3.1069,0.9838
125,chromo1566,COc1cc2[nH]c3c(c2cc1OC)CCCC3=O,0,3.7621,1.1940000000000004
126,chromo1668,COc1ccc(C2=C(C)C3=C(c4c(-c5ccccn5)nc5ccccn45)c4c(C)cc(C)n4[B-](F)(F)[N+]3=C2C)cc1,1,2.525,1.1344999999999998
127,chromo6354,Fc1ccccc1N1c2c(sc3ccccc23)Sc2sc3ccccc3c21,0,3.3761,0.6710000000000003
128,chromo0045,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,1,3.1023,1.0091
129,chromo5465,c1ccc(C2=C(c3ccccc3)c3cccc4c3c(cc3nc5cc(-c6ccccc6)c(-c6ccccc6)cc5nc34)O2)cc1,0,2.5367,0.6983000000000001
130,chromo1087,CC1=[N+]2C(=Cc3c4c(cn3[B-]2(F)F)-c2nc-4c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c(-c4ccccc4)c4ccc([nH]4)c2-c2ccccc2)C=C3)C(C)C1,0,1.9509,0.7038
131,chromo3926,COC(=O)C=Cc1ccc2ccc3cccc4ccc1c2c34,1,3.1683,1.338
132,chromo1366,CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(C#N)cc2)cc1,1,3.1183,1.1063
133,chromo0417,COc1ccc(C=Cc2nc(-c3ccccc3)[nH]c2C=Cc2ccc(OC)cc2)cc1,1,2.9397,1.2176000000000002
134,chromo3311,CCn1c2ccccc2c2cc(C=C3C(=O)c4ccccc4S3(=O)=O)ccc21,1,2.9202,0.7799
135,chromo1133,CC1=C(C2=C(C)C(C)=[N+]3C2=Cc2cc(C)c(C)n2[B-]3(F)F)C2=Cc3cc(C)c(C)n3[B-](F)(F)[N+]2=C1C,1,2.3533,0.9424
136,chromo4767,COc1ccccc1C1=[N+]2C(=C(c3ccccc3)c3c4c(c(-c5ccccc5OC)n3[B-]2(F)F)C2C=CC4CC2)C2=C1C1C=CC2CC1,0,2.5805,1.1259
137,chromo1667,CC1=C(c2ccccc2)C(C)=[N+]2C1=C(c1c(-c3ccccn3)nc3ccccn13)c1c(C)c(-c3ccccc3)c(C)n1[B-]2(F)F,1,2.5006,1.1091
138,chromo6225,CCCCN(CCCC)c1ccc(C#Cc2cc(C#Cc3ccc(C#N)cc3)c(C#Cc3ccc(C#N)cc3)cc2C#Cc2ccc(N(CCCC)CCCC)cc2)cc1,1,2.2824,0.5564
139,chromo2242,CCn1c2ccccc2c2c(N(c3ccccc3)c3ccccc3)cccc21,1,3.504,0.5707
140,chromo4456,c1ccc2c(c1)sc1c3ccccc3c3ncncc3c21,0,3.5712,0.9637000000000002
141,chromo3721,CCn1c2ccccc2c2cc(-c3cc(-c4ccc5c(c4)c4ccccc4n5CC)ncn3)ccc21,1,3.5613,0.6688000000000001
142,chromo4817,c1ccc(N2N=C(c3c4ccccc4cc4ccccc34)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1,1,2.6375,0.9236000000000002
143,chromo1946,O=C(O)c1c2ccccc2nc2ccccc12,0,3.1056,1.3228
144,chromo3110,Cc1cc2c3ccccc3[nH]c2c2[nH]c3ccccc3c12,0,3.6629,0.6851000000000003
