,molecule_id,SMILES,vs1,vdelta,vs1_xtb,vdelta_xtb,xtb_coordinates_path,mmff_coordinates_path,basic_coordinates_path
48,chromo4152,CCC1(CC)c2cc(C=Cc3cc(Br)c(C=Cc4ccc5c(c4)C(CC)(CC)c4cc(N6c7ccccc7Sc7ccccc76)ccc4-5)cc3Br)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,2.3475,0.5699000000000001,3.1807,0.54,/scratch/jaggbow/mol_xtb_coordinates/chromo4152/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4152/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4152/basic.xyz
49,chromo4169,CCN1c2ccc(C=NNc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21,3.029,0.7915999999999999,2.921,0.4285999999999998,/scratch/jaggbow/mol_xtb_coordinates/chromo4169/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4169/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4169/basic.xyz
50,chromo3326,CCc1ccc(C=Nc2cc(C(C)C)c(O)cc2C)cc1,3.4114,0.9977,3.3955,0.4619,/scratch/jaggbow/mol_xtb_coordinates/chromo3326/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3326/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3326/basic.xyz
51,chromo5513,CC(C)[Si]1(C(C)C)c2cc(C=C(C#N)C#N)ccc2-c2ccc(N(C)C)cc21,2.6366,0.8204,3.1736,0.8635000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo5513/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5513/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5513/basic.xyz
52,chromo6518,COc1ccc(O)c(-c2[nH]c(=O)n3c2-c2ccccc2C3=O)c1,3.1344,1.1806,3.0976,0.9558,/scratch/jaggbow/mol_xtb_coordinates/chromo6518/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6518/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6518/basic.xyz
53,chromo1632,COc1ccc(-c2cc(-c3ccc(OC)cc3)c3c(N)nc(N4CCCC4)c(C#N)c3n2)cc1,2.9417,0.5827999999999998,3.0402,0.5911,/scratch/jaggbow/mol_xtb_coordinates/chromo1632/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1632/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1632/basic.xyz
54,chromo6777,CCCCCCCC(CCCCCCC)N1C(=O)c2c(Br)cc3c4cc(Br)c5c6c(c(Br)cc(c7cc(Br)c(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,2.4932,1.088,2.8676,0.9386,/scratch/jaggbow/mol_xtb_coordinates/chromo6777/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6777/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6777/basic.xyz
55,chromo3410,COc1ccc(C(=O)C=C2C(=O)Nc3ccccc32)cc1,3.3287,1.0630000000000002,2.6669,0.4445000000000001,/scratch/jaggbow/mol_xtb_coordinates/chromo3410/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3410/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3410/basic.xyz
56,chromo1218,O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,3.015,0.7723,3.7094,0.7166999999999999,/scratch/jaggbow/mol_xtb_coordinates/chromo1218/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1218/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1218/basic.xyz
57,chromo1536,Cc1ccc(C(=O)NN2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1,3.4139,0.9558,3.0855,0.7861000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo1536/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1536/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1536/basic.xyz
