,molecule_id,SMILES,vs1_gt,vdelta_gt,vs1_xtb_gt,vdelta_xtb_gt,xtb_coordinates_path,mmff_coordinates_path,basic_coordinates_path,target_core,vs1,vdelta,vs1_xtb,vdelta_xtb,vs1_labeling,vdelta_labeling
23,chromo5342,CC(C)(C)NC(=O)c1ccc(-c2cc3ccccc3s2)c2ccc3c4ccccc4c4ccccc4c3c12,3.2333,1.0492999999999997,2.4680051426722907,0.4481988601745512,/scratch/jaggbow/mol_xtb_coordinates/chromo5342/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5342/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5342/basic.xyz,0,,,,,,
24,chromo5561,Cc1cc(C)n2c1C=C1c3ccccc3C(c3ccc[nH]3)=[N+]1[B-]2(F)F,2.4767,1.302,2.8938011598060096,1.3753653799057755,/scratch/jaggbow/mol_xtb_coordinates/chromo5561/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5561/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5561/basic.xyz,0,,,,,,
25,chromo2214,Cc1ccc([B-]2(c3ccc(C)cc3)n3nc(C(F)(F)F)cc3-c3c4ccccc4cc[n+]32)cc1,2.7902,0.3904000000000001,3.7629111732439484,0.9035581788699462,/scratch/jaggbow/mol_xtb_coordinates/chromo2214/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2214/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2214/basic.xyz,0,,,,,,
26,chromo3404,CC(=O)c1nc(-c2ccc(N(C)C)cc2)oc1C,3.7982,1.04,4.979919483506137,1.2228852278473599,/scratch/jaggbow/mol_xtb_coordinates/chromo3404/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3404/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3404/basic.xyz,0,,,,,,
27,chromo5074,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c7ccccc7n7c8ccccc8c(c54)c67)cc3)n2)cc1,2.8045,0.1901000000000001,3.391784239345333,0.315956733251398,/scratch/jaggbow/mol_xtb_coordinates/chromo5074/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5074/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5074/basic.xyz,0,,,,,,
28,chromo5621,COc1cccc(-c2c3ccccc3c3n2[B-](F)(F)[N+]2=Cc4c5ccccc5c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]2=C3)c1,2.4367,0.9059,2.9817520479529325,1.1097982642821378,/scratch/jaggbow/mol_xtb_coordinates/chromo5621/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5621/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5621/basic.xyz,0,,,,,,
29,chromo5765,N#Cc1c(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cccs2)cc1N1CCCCC1,2.8076,0.8041,3.02175306310635,0.4371331572248562,/scratch/jaggbow/mol_xtb_coordinates/chromo5765/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5765/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5765/basic.xyz,1,,,,,,
30,chromo0539,COc1ccc(-c2csc(C(C#N)=NNc3ccc(C#N)cc3)n2)cc1,2.8581,0.8724999999999998,1.8325883660599553,0.6934406512392765,/scratch/jaggbow/mol_xtb_coordinates/chromo0539/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0539/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0539/basic.xyz,1,,,,,,
31,chromo0411,O=[N+]([O-])c1ccc(-c2nc(C=Cc3ccccc3)c(C=Cc3ccccc3)[nH]2)cc1,2.376,0.6968999999999999,3.80643908326013,0.9828524287904077,/scratch/jaggbow/mol_xtb_coordinates/chromo0411/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0411/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0411/basic.xyz,1,,,,,,
32,chromo3731,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(SC)n3)ccc21,3.1357,0.5983999999999998,3.961895184645416,0.4924855854934248,/scratch/jaggbow/mol_xtb_coordinates/chromo3731/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3731/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3731/basic.xyz,1,,,,,,
